,Time,BTCUSDT,MDTUSDT
493,2023-06-04 18:49:00,27190.17,0.0497
494,2023-06-04 18:50:00,27190.17,0.04969
495,2023-06-04 18:51:00,27181.95,0.0497
496,2023-06-04 18:52:00,27191.75,0.04966
497,2023-06-04 18:53:00,27191.75,0.04971
498,2023-06-04 18:54:00,27193.64,0.04971
499,2023-06-04 18:55:00,27187.34,0.04968
500,2023-06-04 18:56:00,27187.34,0.04967
501,2023-06-04 18:57:00,27187.34,0.04967
502,2023-06-04 18:58:00,27179.06,0.04964
503,2023-06-04 18:59:00,27176.76,0.04955
504,2023-06-04 19:00:00,27186.92,0.0494
505,2023-06-04 19:01:00,27188.3,0.04941
506,2023-06-04 19:02:00,27189.64,0.04944
507,2023-06-04 19:03:00,27189.63,0.04947
508,2023-06-04 19:04:00,27198.82,0.04947
509,2023-06-04 19:05:00,27191.84,0.04947
510,2023-06-04 19:06:00,27191.85,0.04945
511,2023-06-04 19:07:00,27192.16,0.0495
512,2023-06-04 19:08:00,27192.16,0.04953
513,2023-06-04 19:09:00,27192.17,0.0494
514,2023-06-04 19:10:00,27190.3,0.04947
515,2023-06-04 19:11:00,27201.86,0.04946
516,2023-06-04 19:12:00,27198.41,0.04947
517,2023-06-04 19:13:00,27209.02,0.04953
518,2023-06-04 19:14:00,27206.23,0.04959
519,2023-06-04 19:15:00,27206.24,0.04952
520,2023-06-04 19:16:00,27197.95,0.04952
521,2023-06-04 19:17:00,27200.51,0.04973
522,2023-06-04 19:18:00,27200.52,0.04982
523,2023-06-04 19:19:00,27199.96,0.04981
524,2023-06-04 19:20:00,27199.96,0.04975
525,2023-06-04 19:21:00,27194.21,0.04976
526,2023-06-04 19:22:00,27201.99,0.04977
527,2023-06-04 19:23:00,27201.99,0.04988
528,2023-06-04 19:24:00,27195.27,0.04985
529,2023-06-04 19:25:00,27195.26,0.04988
530,2023-06-04 19:26:00,27197.49,0.04988
531,2023-06-04 19:27:00,27197.55,0.0499
532,2023-06-04 19:28:00,27197.56,0.04971
